
1531638012271,7651,JDBC Request,200,OK,databasetesting 1-4,text,true,,79,0,10,10,7642,0,6533
1531638012472,7515,JDBC Request,200,OK,databasetesting 1-6,text,true,,79,0,9,9,7441,0,6331
1531638012571,7374,JDBC Request,200,OK,databasetesting 1-7,text,true,,79,0,10,10,7342,0,6233
1531638012072,7868,JDBC Request,200,OK,databasetesting 1-2,text,true,,79,0,10,10,7841,0,6733
1531638012870,7073,JDBC Request,200,OK,databasetesting 1-10,text,true,,79,0,10,10,7043,0,5933
1531638012171,7771,JDBC Request,200,OK,databasetesting 1-3,text,true,,79,0,10,10,7742,0,6634
1531638011985,8018,JDBC Request,200,OK,databasetesting 1-1,text,true,,79,0,5,5,7928,0,6818
1531638012375,7632,JDBC Request,200,OK,databasetesting 1-5,text,true,,79,0,4,4,7538,0,6429
1531638012772,7238,JDBC Request,200,OK,databasetesting 1-9,text,true,,79,0,3,3,7141,0,6031
1531638012671,7269,JDBC Request,200,OK,databasetesting 1-8,text,true,,79,0,10,10,7242,0,6133
